WarNum,WarName,WarType,Ccode,Player,Side,Intnl,,StartMonth,StartDay,StartYear,EndMonth,EndDay,EndYear,Intiator,WhereFought,Outcome,Death
516,Egyptian Taka Expedition,6,-8,Egypt,1,0,,-9,-9,1831,-9,-9,1832,,6,2,1500
516,Egyptian Taka Expedition,6,-8,Hadendowa,2,0,,-9,-9,1831,-9,-9,1832,,6,1,-9
517,First Polish,5,365,Russia,1,0,,2,7,1831,10,18,1831,,2,1,15000
517,First Polish,5,-8,Poles,2,0,,2,7,1831,10,18,1831,,2,2,20000
518,First Syrian,5,640,Ottoman Empire,1,0,,10,1,1831,12,27,1832,,6,2,8000
518,First Syrian,5,-8,Egyptians & Bashir,2,0,,10,1,1831,12,27,1832,,6,1,4000
320,Ottoman-Bilmez-Asiri War,3,640,Ottoman Empire,1,,,6,-9,1832,-9,-9,1837,0,6,1,-9
320,Ottoman-Bilmez-Asiri War,3,-8,Bilmez-Asiri,2,,,6,-9,1832,-9,-9,1837,1,6,2,800
520,First Mexican,4,70,Mexico,1,0,,1,2,1832,12,11,1832,,1,2,-9
520,First Mexican,4,-8,Liberals,2,0,,1,2,1832,12,11,1832,,1,1,-9
521,Egypt- Palestinian Anti-Conscription Revolt,6,-8,Palestinians,1,0,,4,19,1834,10,-9,1834,,6,2,1500
521,Egypt- Palestinian Anti-Conscription Revolt,6,-8,Egypt,2,0,,4,19,1834,10,-9,1834,,6,1,500
522,First Carlist War,4,230,Spain,1,1,,7,15,1834,7,15,1840,,2,1,65000
522,First Carlist War,4,-8,Carlists,2,1,,7,15,1834,7,15,1840,,2,2,60000
523,Second Murid,5,365,Russia,1,0,,9,26,1834,10,27,1834,,2,7,-9
523,Second Murid,5,-8,Shamil,2,0,,9,26,1834,10,27,1834,,2,7,-9
522,First Carlist War,4,235,Portugal,1,1,,10,15,1835,2,15,1836,,2,1,50
522,First Carlist War,4,220,France,1,1,,10,31,1835,1,17,1839,,2,1,7700
522,First Carlist War,4,200,United Kingdom,1,1,,7,10,1835,9,1,1837,,2,1,2500
525,Cabanos Revolt,5,140,Brazil,1,0,,1,6,1835,5,-9,1837,,1,1,-9
525,Cabanos Revolt,5,-8,Cabanos,2,0,,1,6,1835,5,-9,1837,,1,2,-9
526,Farroupilha War,5,140,Brazil,1,0,,9,19,1835,3,1,1845,,1,1,-9
526,Farroupilha War,5,-8,Farrapos,2,0,,9,19,1835,3,1,1845,,1,2,-9
527,Texan,5,70,Mexico,1,0,,10,1,1835,4,22,1836,,1,2,1500
527,Texan,5,-8,Texans,2,0,,10,1,1835,4,22,1836,,1,1,700
528,First Bosnian,5,640,Ottoman Empire,1,0,,-9,-9,1836,-9,-9,1837,,2,1,-9
528,First Bosnian,5,-8,Bosnians,2,0,,-9,-9,1836,-9,-9,1837,,2,2,-9
530,Third Murid,5,365,Russia,1,0,,7,-9,1836,-9,-9,1852,,2,1,15000
530,Third Murid,5,-8,Shamil,2,0,,7,-9,1836,-9,-9,1852,,2,2,-9
531,Sabinada Rebellion,5,140,Brazil,1,0,,11,7,1837,3,13,1838,,1,1,600
531,Sabinada Rebellion,5,-8,Bahian Sabinada,2,0,,11,7,1837,3,13,1838,,1,2,1200
532,Druze Rebellion,6,-8,Egypt & Bashir,1,0,,9,27,1837,8,22,1838,,6,1,15000
532,Druze Rebellion,6,-8,Druze,2,0,,9,27,1837,8,22,1838,,6,2,-9
321,First British-Zulu,3,200,United Kingdom,1,,,4,17,1838,4,-9,1838,1,4,2,800
321,First British-Zulu,3,-8,Zulu tribe,2,,,4,17,1838,4,-9,1838,0,4,1,-9
322,First British-Afghan,3,200,United Kingdom,1,,,2,14,1839,10,12,1842,1,7,2,20000
322,First British-Afghan,3,-8,Afghanistan,2,,,2,14,1839,10,12,1842,0,7,1,-9
323,First Opium,3,200,United Kingdom,1,,,9,4,1839,8,29,1842,1,7,1,450
323,First Opium,3,-8,China,2,,,9,4,1839,8,29,1842,0,7,2,2000
324,First Franco-Algerian,3,220,France,1,,,11,1,1839,12,23,1847,0,6,1,15000
324,First Franco-Algerian,3,-8,Algerian forces,2,,,11,1,1839,12,23,1847,1,6,2,20000
533,"Second Syrian, Phase 1",5,640,Ottoman Empire,1,0,,6,10,1839,6,24,1839,,6,2,2000
533,"Second Syrian, Phase 1",5,-8,Egypt,2,0,,6,10,1839,6,24,1839,,6,1,1000
535,Lebanon Insurgency,6,-8,Lebanese Maronites,1,0,,5,27,1840,7,13,1840,,6,2,3500
535,Lebanon Insurgency,6,-8,Amir Bashir & Egypt,2,0,,5,27,1840,7,13,1840,,6,1,1000
536,First Colombian,4,100,Colombia,1,0,,7,15,1840,7,15,1842,,1,2,-9
536,First Colombian,4,-8,Progressives,2,0,,7,15,1840,7,15,1842,,1,1,-9
537,"Second Syrian, Phase 2",5,200,United Kingdom,1,1,,9,9,1840,11,27,1840,,6,1,14
537,"Second Syrian, Phase 2",5,640,Ottoman Empire,1,1,,9,9,1840,11,27,1840,,6,1,8000
537,"Second Syrian, Phase 2",5,-8,Egypt,2,1,,9,9,1840,11,27,1840,,6,2,19000
325,Peru-Bolivian,3,135,Peru,1,,,10,19,1841,11,28,1841,0,1,2,600
325,Peru-Bolivian,3,-8,Bolivia,2,,,10,19,1841,11,28,1841,1,1,1,400
538,"First Argentina War, Phase 2",4,160,Argentina,1,0,,1,1,1841,12,6,1842,,1,1,300
538,"First Argentina War, Phase 2",4,-8,Unitarios,2,0,,1,1,1841,12,6,1842,,1,2,3000
540,Second Bosnian,5,640,Ottoman Empire,1,0,,-9,-9,1841,-9,-9,1841,,2,1,-9
540,Second Bosnian,5,-8,Bosnians,2,0,,-9,-9,1841,-9,-9,1841,,2,2,-9
541,Triangular Revolt,4,70,Mexico,1,0,,9,4,1841,10,6,1841,,1,2,-9
541,Triangular Revolt,4,-8,Military,2,0,,9,4,1841,10,6,1841,,1,1,-9
542,Karbala Revolt,5,640,Ottoman Empire,1,0,,12,19,1842,1,13,1843,,6,1,1600
542,Karbala Revolt,5,-8,Karbala,2,0,,12,19,1842,1,13,1843,,6,2,3000
326,British-Sind,3,200,United Kingdom,1,,,1,6,1843,6,14,1843,1,7,1,200
326,British-Sind,3,-8,Sind,2,,,1,6,1843,6,14,1843,0,7,2,4000
327,Uruguay War,3,160,Argentina,1,,,2,16,1843,7,18,1851,1,1,4,1500
327,Uruguay War,3,-8,Uruguay,2,,,2,16,1843,7,18,1851,0,1,4,3500
329,Gwalior,3,200,United Kingdom,1,,,12,28,1843,12,29,1843,1,7,1,106
329,Gwalior,3,-8,Gwalior,2,,,12,28,1843,12,29,1843,0,7,2,1330
330,Franco-Moroccan,3,220,France,1,,,8,6,1844,9,10,1844,1,6,1,200
330,Franco-Moroccan,3,-8,Morocco,2,,,8,6,1844,9,10,1844,0,6,2,800
327,Uruguay War,3,200,United Kingdom,2,,,1,-9,1845,3,6,1849,0,1,4,400
327,Uruguay War,3,220,France,2,,,1,-9,1845,5,24,1849,0,1,4,600
331,First British-Sikh,3,200,United Kingdom,1,,,12,13,1845,2,10,1846,0,7,1,1500
331,First British-Sikh,3,-8,Sikhs,2,,,12,13,1845,2,10,1846,1,7,2,7000
543,First Maronite-Druze,7,-8,Maronites,1,0,,4,30,1845,5,31,1845,,6,2,2000
543,First Maronite-Druze,7,-8,Druze,2,0,,4,30,1845,5,31,1845,,6,1,1000
7,Mexican-American,1,70,Mexico,2,,,4,25,1846,9,14,1847,0,1,2,6000
7,Mexican-American,1,2,United States of America,1,,,4,25,1846,9,14,1847,1,1,1,13283
332,Cracow Revolt,3,365,Russia,1,,,2,-9,1846,3,3,1846,0,2,1,-9
332,Cracow Revolt,3,255,Prussia,1,,,2,-9,1846,3,3,1846,0,2,1,-9
332,Cracow Revolt,3,300,Austria,1,,,2,15,1846,3,3,1846,0,2,1,1000
332,Cracow Revolt,3,-8,Cracow,2,,,2,15,1846,3,3,1846,1,2,2,1000
333,First British-Xhosa,3,200,United Kingdom,1,,,4,16,1846,12,23,1847,1,4,1,1000
333,First British-Xhosa,3,-8,Khosa,2,,,4,16,1846,12,23,1847,0,4,2,2000
545,"Mayan Caste War, Phase 1",6,-8,Mayans,1,0,,1,15,1847,8,16,1848,,1,4,-9
545,"Mayan Caste War, Phase 1",6,-8,Yucutan,2,0,,1,15,1847,8,16,1848,,1,4,1800
546,Second Carlist,4,230,Spain,1,0,,5,15,1847,5,1,1849,,2,1,3000
546,Second Carlist,4,-8,Carlists,2,0,,5,15,1847,5,1,1849,,2,2,7000
10,Austro-Sardinian,1,337,Tuscany,2,,,3,29,1848,8,9,1848,0,2,2,100
10,Austro-Sardinian,1,325,Italy,2,,,3,24,1848,3,30,1849,1,2,2,3400
10,Austro-Sardinian,1,300,Austria,1,,,3,24,1848,3,30,1849,0,2,1,3927
10,Austro-Sardinian,1,332,Modena,2,,,4,9,1848,8,9,1848,0,2,2,100
13,First Schleswig-Holstein,1,255,Prussia,1,,,4,10,1848,7,10,1849,1,2,1,2500
13,First Schleswig-Holstein,1,390,Denmark,2,,,4,10,1848,7,10,1849,0,2,2,3500
334,First Dutch-Bali,3,210,Netherlands,1,,,4,12,1848,6,14,1849,1,7,6,300
334,First Dutch-Bali,3,-8,Bali,2,,,4,12,1848,6,14,1849,0,7,6,2000
335,Second British-Sikh,3,200,United Kingdom,1,,,5,18,1848,3,10,1849,1,7,1,1500
335,Second British-Sikh,3,-8,Sikhs,2,,,5,18,1848,3,10,1849,0,7,2,5000
547,Second Two Sicilies,4,329,Two Sicilies,1,0,,1,12,1848,1,27,1848,,2,1,1500
547,Second Two Sicilies,4,-8,Liberals,2,0,,1,12,1848,1,27,1848,,2,2,-9
548,First Venezuelan,4,101,Venezuela,1,0,,2,4,1848,8,15,1849,,1,1,1500
548,First Venezuelan,4,-8,Paez led Conservatives ,2,0,,2,4,1848,8,15,1849,,1,2,-9
550,Viennese Revolt,4,300,Austria,1,0,,3,13,1848,10,31,1848,,2,1,249
550,Viennese Revolt,4,-8,Viennese,2,0,,3,13,1848,10,31,1848,,2,2,3000
551,Milan Five Day Revolt,5,300,Austria,1,0,,3,18,1848,3,23,1848,,2,4,600
551,Milan Five Day Revolt,5,-8,Milan,2,0,,3,18,1848,3,23,1848,,2,4,430
552,Second French Insurrection,4,220,France,1,0,,6,23,1848,6,26,1848,,2,1,1200
552,Second French Insurrection,4,-8,Radicals,2,0,,6,23,1848,6,26,1848,,2,2,1600
553,"Mayan Caste War, Phase 2",5,70,Mexico,1,0,,8,17,1848,3,4,1855,,1,1,-9
553,"Mayan Caste War, Phase 2",5,-8,Yucatan Maya,2,0,,8,17,1848,3,4,1855,,1,2,-9
554,Hungarian,5,300,Austria,1,1,,9,9,1848,8,13,1849,,2,1,46000
554,Hungarian,5,-8,Hungary,2,1,,9,9,1848,8,13,1849,,2,2,20000
16,Roman Republic,1,220,France,1,,,4,30,1849,7,2,1849,1,2,1,1000
16,Roman Republic,1,329,Two Sicilies,1,,,5,8,1849,7,2,1849,0,2,1,100
16,Roman Republic,1,300,Austria,1,,,5,8,1849,7,2,1849,0,2,1,100
16,Roman Republic,1,327,Papal States,2,,,4,30,1849,7,2,1849,0,2,2,1400
336,Chinese Pirates,3,200,United Kingdom,1,,,10,20,1849,10,22,1849,1,7,1,0
336,Chinese Pirates,3,-8,Chinese Pirates,2,,,10,20,1849,10,22,1849,0,7,2,2800
554,Hungarian,5,365,Russia,1,1,,7,16,1849,8,13,1849,,2,1,14500
337,Second British-Xhosa,2,200,United Kingdom,1,,,12,24,1850,4,8,1852,1,4,1,1400
337,Second British-Xhosa,2,-8,Xhosa,2,,,12,24,1850,4,8,1852,0,4,2,6000
19,La Plata,1,160,Argentina,2,,,7,19,1851,2,3,1852,0,1,2,800
19,La Plata,1,140,Brazil,1,,,7,19,1851,2,3,1852,1,1,1,500
338,Ottoman-Yam,3,640,Turkey/Ottoman Empire/Egypt,1,,,4,21,1851,7,9,1851,0,6,1,-9
338,Ottoman-Yam,3,-8,Yam,2,,,4,21,1851,7,9,1851,1,6,2,1600
555,First Chilean,4,155,Chile,1,0,,9,5,1851,12,15,1851,,1,1,1500
555,First Chilean,4,-8,Liberals,2,0,,9,5,1851,12,15,1851,,1,2,2500
339,Second British-Burmese,3,200,United Kingdom,1,,,4,5,1852,11,20,1852,1,7,1,400
339,Second British-Burmese,3,-8,Burma,2,,,4,5,1852,11,20,1852,0,7,2,800
556,First Turco-Montenegrin,5,640,Ottoman Empire,1,0,,12,2,1852,3,13,1853,,2,2,-9
556,First Turco-Montenegrin,5,-8,Montenegro & Hercegovina,2,0,,12,2,1852,3,13,1853,,2,1,-9
22,Crimean,1,640,Turkey,1,,,10,23,1853,3,1,1856,1,2,1,45000
22,Crimean,1,365,Russia,2,,,10,23,1853,3,1,1856,0,2,2,100000
557,First Peru,4,135,Peru,1,0,,12,21,1853,1,7,1855,,1,2,-9
557,First Peru,4,-8,Liberals,2,0,,12,21,1853,1,7,1855,,1,1,-9
22,Crimean,1,220,France,1,,,3,31,1854,3,1,1856,0,2,1,95000
22,Crimean,1,200,United Kingdom,1,,,3,31,1854,3,1,1856,0,2,1,22000
340,French-Tukulor War,3,220,France,1,,,-9,-9,1854,7,15,1857,0,4,6,100
340,French-Tukulor War,3,-8,Tukulor,2,,,-9,-9,1854,7,15,1857,1,4,6,2000
22,Crimean,1,325,Italy,1,,,1,10,1855,3,1,1856,0,2,1,2200
341,British-Santal,2,200,United Kingdom,1,,,-9,-9,1855,-9,-9,1856,0,7,1,-9
341,British-Santal,2,-8,Santal,2,,,-9,-9,1855,-9,-9,1856,1,7,2,15000
558,Puebla War,4,70,Mexico,1,0,,12,11,1855,3,21,1856,,1,1,600
558,Puebla War,4,-8,Puebla,2,0,,12,11,1855,3,21,1856,,1,2,3000
25,Anglo-Persian,1,200,United Kingdom,1,,,10,25,1856,4,5,1857,1,6,1,500
25,Anglo-Persian,1,630,Iran,2,,,10,25,1856,4,5,1857,0,6,2,1500
342,Hodeida Seige,2,640,Ottoman Empire,1,,,1,22,1856,2,22,1856,0,6,6,1700
342,Hodeida Seige,2,-8,Beni Aseer tribe,2,,,1,22,1856,2,22,1856,1,6,6,15000
343,Second Opium,3,200,United Kingdom,1,,,10,22,1856,10,24,1860,1,7,1,200
343,Second Opium,3,220,France,1,,,10,22,1856,10,24,1860,1,7,1,100
343,Second Opium,3,-8,China,2,,,10,22,1856,10,24,1860,0,7,2,3000
345,French Conquest of Kabylia,2,220,France,1,,,5,17,1856,12,-9,1857,1,4,1,1000
345,French Conquest of Kabylia,2,-8,Kabylia,2,,,5,17,1856,12,-9,1857,0,4,2,-9
560,Second Peru,4,135,Peru,1,0,,10,31,1856,3,7,1858,,1,1,-9
560,Second Peru,4,-8,Conservatives,2,0,,10,31,1856,3,7,1858,,1,2,-9
347,Indian Mutiny,2,200,United Kingdom,1,,,5,10,1857,4,7,1859,0,7,1,11000
347,Indian Mutiny,2,-8,Indian sepoys,2,,,5,10,1857,4,7,1859,1,7,2,11500
349,First Franco-Vietnamese,3,220,France,1,,,8,31,1858,6,5,1862,1,7,1,1500
349,First Franco-Vietnamese,3,-8,Vietnam,2,,,8,31,1858,6,5,1862,0,7,2,2500
561,Mexican Reform,4,70,Mexico,1,0,,2,15,1858,1,1,1861,,1,4,-9
561,Mexican Reform,4,-8,Liberals,2,0,,2,15,1858,1,1,1861,,1,4,-9
562,Second Turco-Montenegrin,5,640,Ottoman Empire,1,0,,5,4,1858,6,1,1859,,2,2,3000
562,Second Turco-Montenegrin,5,-8,Montenegrins,2,0,,5,4,1858,6,1,1859,,2,1,1400
28,Italian Unification,1,325,Sardinia/Piedmont,1,,,4,29,1859,7,12,1859,0,2,1,2500
28,Italian Unification,1,300,Austria,2,,,4,29,1859,7,12,1859,1,2,2,12500
28,Italian Unification,1,220,France,1,,,5,3,1859,7,12,1859,0,2,1,7500
31,First Spanish-Moroccan,1,600,Morocco,2,,,10,22,1859,3,25,1860,0,6,2,6000
31,First Spanish-Moroccan,1,230,Spain,1,,,10,22,1859,3,25,1860,1,6,1,4000
350,Netherlands-Bone,3,210,Netherlands,1,,,2,20,1859,1,20,1860,1,7,1,500
350,Netherlands-Bone,3,-8,Bone,2,,,2,20,1859,1,20,1860,0,7,2,500
351,Argentine-Buenos Aires,3,160,Argentina,1,,,5,29,1859,10,23,1859,1,1,1,500
351,Argentine-Buenos Aires,3,-8,Buenos Aires,2,,,5,29,1859,10,23,1859,0,1,2,500
563,Second Venezuelan/Federalist,4,101,Venezuela,1,0,,2,1,1859,5,23,1863,,1,2,15000
563,Second Venezuelan/Federalist,4,-8,Liberals,2,0,,2,1,1859,5,23,1863,,1,1,5000
34,Italian-Roman,1,325,Sardinia/Piedmont,1,,,9,11,1860,9,29,1860,1,2,1,300
34,Italian-Roman,1,327,Papal States,2,,,9,11,1860,9,29,1860,0,2,2,700
37,Neapolitan,1,329,Two Sicilies,2,,,10,15,1860,2,13,1861,0,2,2,400
37,Neapolitan,1,325,Sardinia/Piedmont,1,,,10,15,1860,2,13,1861,1,2,1,600
352,Garibaldi Expedition,3,329,Two Sicilies,1,,,5,11,1860,10,14,1860,0,2,4,4500
352,Garibaldi Expedition,3,-8,Red Shirts,2,,,5,11,1860,10,14,1860,1,2,4,1500
565,Second Colombian,4,100,Colombia,1,0,,5,15,1860,7,18,1861,,1,2,-9
565,Second Colombian,4,-8,Liberals,2,0,,5,15,1860,7,18,1861,,1,1,-9
566,Second Maronite-Druze,7,-8,Maronites,1,0,,5,26,1860,7,12,1860,,6,2,8000
566,Second Maronite-Druze,7,-8,Druze,2,0,,5,26,1860,7,12,1860,,6,1,1500
567,"Taiping Rebellion, Phase 2",4,710,China,1,1,,10,25,1860,2,9,1866,,7,1,26000
567,"Taiping Rebellion, Phase 2",4,-8,Taipings,2,1,,10,25,1860,2,9,1866,,7,2,85000
568,Second Nien Revolt,5,710,China,1,0,,10,25,1860,8,16,1868,,7,1,-9
568,Second Nien Revolt,5,-8,Niens,2,0,,10,25,1860,8,16,1868,,7,2,-9
570,Miao Revolt Phase 2,5,710,China,1,0,,10,25,1860,5,1,1872,,7,1,-9
570,Miao Revolt Phase 2,5,-8,Miaos,2,0,,10,25,1860,5,1,1872,,7,2,-9
571,Panthay Rebellion Phase 2,5,710,China,1,0,,10,25,1860,12,26,1872,,7,1,-9
571,Panthay Rebellion Phase 2,5,-8,Muslims (Hui),2,0,,10,25,1860,12,26,1872,,7,2,-9
572,U.S. Civil War,5,2,United States of America,1,0,,4,10,1861,4,9,1865,,1,1,360000
572,U.S. Civil War,5,-8,Confederacy,2,0,,4,10,1861,4,9,1865,,1,2,258000
573,Third Buenos Aires,5,160,Argentina,1,0,,8,20,1861,12,2,1861,,1,2,500
573,Third Buenos Aires,5,-8,Buenos Aires,2,0,,8,20,1861,12,2,1861,,1,1,500
575,Third Turco-Montenegrin,5,640,Turkey,1,0,,12,-9,1861,8,31,1862,,2,3,-9
575,Third Turco-Montenegrin,5,-8,Montenegro,2,0,,12,-9,1861,8,31,1862,,2,3,-9
40,Franco-Mexican,1,70,Mexico,1,,,4,16,1862,2,5,1867,0,1,4,12000
40,Franco-Mexican,1,220,France,2,,,4,16,1862,2,5,1867,1,1,4,8000
567,"Taiping Rebellion, Phase 2",4,200,United Kingdom,1,1,,3,1,1862,8,1,1862,,7,1,25
576,Tungan Rebellion,5,710,China,1,0,,5,-9,1862,10,24,1873,,7,1,-9
576,Tungan Rebellion,5,-8,Muslims  in Sinkiang,2,0,,5,-9,1862,10,24,1873,,7,2,-9
577,Sioux-Minnesota,6,-8,Santee Sioux,1,0,,8,17,1862,9,26,1862,,1,2,217
577,Sioux-Minnesota,6,-8,Settlers & militia,2,0,,8,17,1862,9,26,1862,,1,1,851
578,Bolivan Perez Rebellion,4,145,Boliva,1,0,,9,15,1862,9,15,1862,,1,1,-9
578,Bolivan Perez Rebellion,4,-8,Gregorio Perez's followers,2,0,,9,15,1862,9,15,1862,,1,2,-9
43,Ecuadorian-Colombian,1,100,Colombia,1,,,11,22,1863,12,6,1863,1,1,1,300
43,Ecuadorian-Colombian,1,130,Ecuador,2,,,11,22,1863,12,6,1863,0,1,2,700
353,Spanish-Santo Dominican,2,230,Spain,1,,,4,-9,1863,5,3,1865,1,1,2,28000
