,WarNum,WarName,WarType,Ccode,Player,Side,Intnl,Unnamed: 7,StartMonth,StartDay,StartYear,EndMonth,EndDay,EndYear,Intiator,WhereFought,Outcome,Death,stateabb,ccode,year,milex,milper,irst,pec,tpop,upop,cinc,version,exact_match,war_sum_milex,war_sum_milper,war_sum_irst,war_sum_pec,war_milex_pct,war_milper_pct,war_irst_pct,war_pect_pct
2254,151,Korean,1,210,Netherlands,1,,,1,20,1951,7,27,1953,0,7,6,111,NTH,210,1951,278581,218,554,27876,10264,3248,0.0076385,2011,TRUE,23376515,8330,124959,1700195,0.011917131,0.026170468,0.004433454,0.016395766
2495,221,War for Kosovo,1,210,Netherlands,1,,,3,24,1999,6,10,1999,1,2,1,0,NTH,210,1999,6193000,54,6075,168571,15735,4880,0.0057975,2011,TRUE,437736000,3799,221483,4819375,0.014147797,0.014214267,0.027428742,0.034977772
2693,482,Iraqi Resistance,3,210,Netherlands,1,,,3,-9,2004,3,-9,2005,0,6,5,2,NTH,210,2004,9607000,53,6848,176748,16221,3360,0.0054407,2011,TRUE,122244991,1343,123216,1684417,0.078588087,0.039463887,0.055577198,0.104931261
2702,300,Allied Bombardment of Algiers,3,200,United Kingdom,1,,,8,26,1816,8,30,1816,1,6,1,129,UKG,200,1816,16942,255,270,22528,19520,1957,0.3366194,2011,TRUE,19317,281,320,23670,0.877051302,0.90747331,0.84375,0.951753274
2900,305,British-Kandyan,2,200,United Kingdom,1,,,10,-9,1817,11,26,1818,0,7,1,1000,UKG,200,1817,16088,190,260,22994,19814,2006,0.3279875,2011,TRUE,16088,190,260,22994,1,1,1,1
3097,306,British-Maratha,2,200,United Kingdom,1,,,11,6,1817,6,3,1818,0,7,1,2800,UKG,200,1817,16088,190,260,22994,19814,2006,0.3279875,2011,TRUE,16088,190,260,22994,1,1,1,1
3300,310,First British-Burmese,3,200,United Kingdom,1,,,9,24,1823,2,24,1826,0,7,1,15000,UKG,200,1823,9783,125,450,26095,21666,2331,0.3178135,2011,TRUE,9783,125,450,26095,1,1,1,1
3498,311,First British-Ashanti,3,200,United Kingdom,1,,,1,20,1824,8,7,1826,0,4,1,1400,UKG,200,1824,10386,132,550,26622,21978,2391,0.3296627,2011,TRUE,10386,132,550,26622,1,1,1,1
3696,314,British-Bharatpuran,2,200,United Kingdom,1,,,11,23,1825,1,18,1826,0,7,1,400,UKG,200,1825,10568,132,580,27159,22281,2451,0.3309532,2011,TRUE,10568,132,580,27159,1,1,1,1
3895,506,Greek Independence,5,200,United Kingdom,2,1,,10,20,1827,10,27,1827,,2,4,80,UKG,200,1827,10941,155,690,28273,22872,2577,0.3328305,2011,TRUE,28835,1067,1090,30536,0.379434715,0.145267104,0.633027523,0.925890752
4096,510,Miguelite War,4,200,United Kingdom,2,1,,7,1,1831,5,26,1834,,2,1,100,UKG,200,1831,8903,150,600,30981,24135,2849,0.2989098,2011,TRUE,8894,192,600,30981,1.001011918,0.78125,1,1
4297,522,First Carlist War,4,200,United Kingdom,1,1,,7,10,1835,9,1,1837,,2,1,2500,UKG,200,1835,7147,136,930,34459,25134,3171,0.3051496,2011,TRUE,21376,589,1245,37743,0.334346931,0.23089983,0.746987952,0.912990488
4497,321,First British-Zulu,3,200,United Kingdom,1,,,4,17,1838,4,-9,1838,1,4,2,800,UKG,200,1838,8531,155,1120,37976,25904,3437,0.3039156,2011,TRUE,8531,155,1120,37976,1,1,1,1
4695,322,First British-Afghan,3,200,United Kingdom,1,,,2,14,1839,10,12,1842,1,7,2,20000,UKG,200,1839,9737,159,1250,39345,26199,3531,0.3093704,2011,TRUE,9737,159,1250,39345,1,1,1,1
4892,323,First Opium,3,200,United Kingdom,1,,,9,4,1839,8,29,1842,1,7,1,450,UKG,200,1839,9737,159,1250,39345,26199,3531,0.3093704,2011,TRUE,9737,159,1250,39345,1,1,1,1
5090,537,"Second Syrian, Phase 2",5,200,United Kingdom,1,1,,9,9,1840,11,27,1840,,6,1,14,UKG,200,1840,10028,168,1400,40982,26488,3627,0.3113052,2011,TRUE,10028,168,1400,40982,1,1,1,1
5290,326,British-Sind,3,200,United Kingdom,1,,,1,6,1843,6,14,1843,1,7,1,200,UKG,200,1843,10581,158,1220,44151,27256,3891,0.2985971,2011,TRUE,10581,158,1220,44151,1,1,1,1
5487,329,Gwalior,3,200,United Kingdom,1,,,12,28,1843,12,29,1843,1,7,1,106,UKG,200,1843,10581,158,1220,44151,27256,3891,0.2985971,2011,TRUE,10581,158,1220,44151,1,1,1,1
5686,327,Uruguay War,3,200,United Kingdom,2,,,1,-9,1845,3,6,1849,0,1,4,400,UKG,200,1845,11869,178,2200,48618,27776,4065,0.3182051,2011,TRUE,29947,526,2639,54981,0.396333523,0.338403042,0.83364911,0.884269111
5883,331,First British-Sikh,3,200,United Kingdom,1,,,12,13,1845,2,10,1846,0,7,1,1500,UKG,200,1845,11869,178,2200,48618,27776,4065,0.3182051,2011,TRUE,11869,178,2200,48618,1,1,1,1
6081,333,First British-Xhosa,3,200,United Kingdom,1,,,4,16,1846,12,23,1847,1,4,1,1000,UKG,200,1846,13117,191,2210,50672,28002,4154,0.3028882,2011,TRUE,13117,191,2210,50672,1,1,1,1
6280,335,Second British-Sikh,3,200,United Kingdom,1,,,5,18,1848,3,10,1849,1,7,1,1500,UKG,200,1848,14883,208,2090,53858,27820,4339,0.3041608,2011,TRUE,14883,208,2090,53858,1,1,1,1
6478,336,Chinese Pirates,3,200,United Kingdom,1,,,10,20,1849,10,22,1849,1,7,1,0,UKG,200,1849,12008,203,2170,56525,27714,4435,0.304769,2011,TRUE,12008,203,2170,56525,1,1,1,1
6676,337,Second British-Xhosa,2,200,United Kingdom,1,,,12,24,1850,4,8,1852,1,4,1,1400,UKG,200,1850,11606,201,2250,59236,27524,4533,0.3041713,2011,TRUE,11606,201,2250,59236,1,1,1,1
6875,339,Second British-Burmese,3,200,United Kingdom,1,,,4,5,1852,11,20,1852,1,7,1,400,UKG,200,1852,10132,201,2700,64765,27448,4734,0.298614,2011,TRUE,10132,201,2700,64765,1,1,1,1
7074,22,Crimean,1,200,United Kingdom,1,,,3,31,1854,3,1,1856,0,2,1,22000,UKG,200,1854,76329,234,3119,70914,27658,4943,0.336089,2011,TRUE,128845,1648,4148,81998,0.592409484,0.141990291,0.75192864,0.864825971
7272,341,British-Santal,2,200,United Kingdom,1,,,-9,-9,1855,-9,-9,1856,0,7,1,-9,UKG,200,1855,36520,329,3270,71561,27822,5052,0.29753,2011,TRUE,36520,329,3270,71561,1,1,1,1
7470,25,Anglo-Persian,1,200,United Kingdom,1,,,10,25,1856,4,5,1857,1,6,1,500,UKG,200,1856,32369,382,3644,73272,28011,5162,0.2956996,2011,TRUE,32360,400,3644,73272,1.000278121,0.955,1,1
7667,343,Second Opium,3,200,United Kingdom,1,,,10,22,1856,10,24,1860,1,7,1,200,UKG,200,1856,32369,382,3644,73272,28011,5162,0.2956996,2011,TRUE,68760,1027,4567,86142,0.470753345,0.371957157,0.797897964,0.850595528
7865,347,Indian Mutiny,2,200,United Kingdom,1,,,5,10,1857,4,7,1859,0,7,1,11000,UKG,200,1857,18866,272,3718,75317,28187,5275,0.2900489,2011,TRUE,18866,272,3718,75317,1,1,1,1
8067,567,"Taiping Rebellion, Phase 2",4,200,United Kingdom,1,1,,3,1,1862,8,1,1862,,7,1,25,UKG,200,1862,23575,305,4006,82989,29245,5891,0.2505943,2011,TRUE,23566,1305,4016,82989,1.000381906,0.233716475,0.99750996,1
8265,355,British-Maori,2,200,United Kingdom,1,,,6,4,1863,1,14,1866,1,9,1,700,UKG,200,1863,22204,312,4582,87608,29471,6033,0.2509915,2011,TRUE,22204,312,4582,87608,1,1,1,1
8462,357,British Umbeyla Campaign,3,200,United Kingdom,1,,,10,20,1863,12,21,1863,1,7,1,900,UKG,200,1863,22204,312,4582,87608,29471,6033,0.2509915,2011,TRUE,22204,312,4582,87608,1,1,1,1
8660,356,Shimonoseki War,3,200,United Kingdom,1,,,7,5,1864,9,7,1864,0,7,1,13,UKG,200,1864,21878,290,4845,90450,29681,6178,0.2433951,2011,TRUE,50777,822,6002,108240,0.430864368,0.352798054,0.807230923,0.835643016
8858,360,British-Bhutanese,3,200,United Kingdom,1,,,1,-9,1865,11,11,1865,1,7,1,100,UKG,200,1865,20976,296,4882,93014,29925,6327,0.2564121,2011,TRUE,20976,296,4882,93014,1,1,1,1
9057,362,British-Ethiopian,3,200,United Kingdom,1,,,12,-9,1867,4,13,1868,1,4,1,400,UKG,200,1867,26133,283,4837,95812,30409,6635,0.2531385,2011,TRUE,26133,283,4837,95812,1,1,1,1
9260,367,Second British-Ashanti,3,200,United Kingdom,1,,,1,-9,1873,2,4,1874,0,4,1,100,UKG,200,1873,20867,252,6671,117821,32177,7688,0.2324554,2011,TRUE,20867,252,6671,117821,1,1,1,1
9461,374,Third British-Xhosa,2,200,United Kingdom,1,,,8,-9,1877,6,-9,1878,0,4,1,200,UKG,200,1877,25051,251,6715,121069,33576,8534,0.2332203,2011,TRUE,25051,251,6715,121069,1,1,1,1
9659,379,Second British-Afghan,3,200,United Kingdom,1,,,11,21,1878,9,2,1880,1,7,1,10000,UKG,200,1878,25926,261,6483,119929,33943,8760,0.2282531,2011,TRUE,25926,261,6483,119929,1,1,1,1
9857,380,Second British-Zulu,3,200,United Kingdom,1,,,1,11,1879,7,4,1879,1,4,1,2500,UKG,200,1879,25121,260,6091,120249,34304,8992,0.2236606,2011,TRUE,25121,260,6091,120249,1,1,1,1
10055,381,Gun War,2,200,United Kingdom,1,,,9,-9,1880,4,-9,1881,1,4,1,-9,UKG,200,1880,21448,248,7873,131039,34623,9229,0.2184708,2011,TRUE,21448,248,7873,131039,1,1,1,1
10252,382,First Boer War,2,200,United Kingdom,1,,,12,16,1880,4,5,1881,0,4,2,900,UKG,200,1880,21448,248,7873,131039,34623,9229,0.2184708,2011,TRUE,21448,248,7873,131039,1,1,1,1
10450,384,First British-Mahdi,2,200,United Kingdom,1,,,8,-9,1881,3,22,1885,0,6,2,25000,UKG,200,1881,22350,247,8275,138269,34934,9474,0.2164771,2011,TRUE,22779,262,8275,138269,0.981166864,0.942748092,1,1
10648,65,Conquest of Egypt,1,200,United Kingdom,1,,,7,11,1882,9,15,1882,1,6,1,79,UKG,200,1882,24028,247,8725,139087,35206,9652,0.2116762,2011,TRUE,24132,262,8725,139087,0.99569037,0.942748092,1,1
10848,387,Third British-Burmese,3,200,United Kingdom,1,,,11,10,1885,-9,-9,1889,1,7,1,3000,UKG,200,1885,38021,256,7534,139339,36015,10208,0.2157365,2011,TRUE,38021,256,7534,139339,1,1,1,1
11053,398,Third British-Ashanti,3,200,United Kingdom,1,,,9,28,1893,-9,-9,1894,0,4,1,200,UKG,200,1893,29824,294,7089,139713,38490,11854,0.1703931,2011,TRUE,29824,294,7089,139713,1,1,1,1
11252,406,Mazrui Rebellion,3,200,United Kingdom,1,,,7,3,1895,4,21,1896,0,4,1,200,UKG,200,1895,35743,309,7827,161765,39221,12306,0.1719241,2011,TRUE,35743,309,7827,161765,1,1,1,1
11450,409,Second British-Mahdi,3,200,United Kingdom,1,,,6,7,1896,11,24,1899,1,6,1,1200,UKG,200,1896,35253,315,8799,165596,39599,12538,0.1736574,2011,TRUE,35253,315,8799,165596,1,1,1,1
11648,411,British-South Nigerian,3,200,United Kingdom,1,,,1,6,1897,2,25,1897,1,4,1,20,UKG,200,1897,35187,319,8937,170127,39987,12775,0.1658213,2011,TRUE,35187,319,8937,170127,1,1,1,1
11845,412,British-Pathan,2,200,United Kingdom,1,,,7,26,1897,3,7,1898,0,7,1,1100,UKG,200,1897,35187,319,8937,170127,39987,12775,0.1658213,2011,TRUE,35187,319,8937,170127,1,1,1,1
12043,413,Hut Tax,2,200,United Kingdom,1,,,2,-9,1898,5,-9,1898,0,4,1,400,UKG,200,1898,38741,331,8748,170616,40381,13017,0.1574313,2011,TRUE,38741,331,8748,170616,1,1,1,1
12241,416,Second Boer War,3,200,United Kingdom,1,,,10,11,1899,5,31,1902,0,4,1,22000,UKG,200,1899,63547,331,9572,183524,40774,13263,0.1686449,2011,TRUE,63547,331,9572,183524,1,1,1,1
12439,82,Boxer Rebellion,1,200,United Kingdom,1,,,6,17,1900,8,14,1900,1,7,1,34,UKG,200,1900,119587,487,4980,185652,41155,13513,0.1775276,2011,TRUE,270293,3558,19114,532556,0.442434691,0.136874649,0.260542011,0.348605593
12636,417,Last Ashanti War,3,200,United Kingdom,1,,,4,2,1900,9,30,1900,0,4,1,1000,UKG,200,1900,119587,487,4980,185652,41155,13513,0.1775276,2011,TRUE,119587,487,4980,185652,1,1,1,1
12834,419,Somali Rebellion,2,200,United Kingdom,1,,,3,22,1901,4,21,1904,0,4,1,400,UKG,200,1901,116896,521,4983,181916,41538,13769,0.1742108,2011,TRUE,116887,671,4983,181916,1.000076997,0.776453055,1,1
13033,422,British Conquest of Kano & Sokoto,3,200,United Kingdom,1,,,1,29,1903,7,27,1903,1,4,1,-9,UKG,200,1903,66400,416,5115,189999,42247,14098,0.1429768,2011,TRUE,66400,416,5115,189999,1,1,1,1
13231,425,Younghusband Expedition,3,200,United Kingdom,1,,,3,31,1904,9,7,1904,1,7,1,300,UKG,200,1904,59715,409,5108,190787,42610,14266,0.1348405,2011,TRUE,59715,409,5108,190787,1,1,1,1
13430,427,Sokoto Uprising,2,200,United Kingdom,1,,,1,-9,1906,3,10,1906,0,4,1,80,UKG,200,1906,53899,384,6566,200326,43360,14607,0.1233785,2011,TRUE,53899,384,6566,200326,1,1,1,1
13627,429,Third British-Zulu,2,200,United Kingdom,1,,,3,5,1906,6,10,1906,0,4,1,56,UKG,200,1906,53899,384,6566,200326,43360,14607,0.1233785,2011,TRUE,53899,384,6566,200326,1,1,1,1
13832,106,World War I,1,200,United Kingdom,1,,,8,5,1914,11,11,1918,0,15,1,908371,UKG,200,1914,1678843,532,7971,213992,46048,17852,0.1379094,2011,TRUE,7553077,9278,79683,1292901,0.222272724,0.057339944,0.100033884,0.165513059
14033,677,Russian Civil War,4,200,United Kingdom,2,1,,6,23,1918,3,15,1920,,2,2,350,UKG,200,1918,8104264,4222,9692,206733,43116,18271,0.1427972,2011,TRUE,23132848,13094,57481,1022283,0.350335765,0.322437758,0.168612237,0.202226781
14231,442,Third British-Afghan,3,200,United Kingdom,1,,,5,3,1919,8,8,1919,0,7,3,1136,UKG,200,1919,745209,1333,8021,201771,44599,18356,0.1109416,2011,TRUE,745200,1324,8012,201762,1.000012077,1.006797583,1.001123315,1.000044607
14428,443,First British-Waziristan,3,200,United Kingdom,1,,,5,26,1919,3,-9,1920,0,7,1,800,UKG,200,1919,745209,1333,8021,201771,44599,18356,0.1109416,2011,TRUE,745209,1333,8021,201771,1,1,1,1
14626,445,Iraqi-British,2,200,United Kingdom,1,,,6,5,1920,10,17,1920,0,6,1,1040,UKG,200,1920,1475661,596,9212,213247,46472,18412,0.1276359,2011,TRUE,1475661,596,9212,213247,1,1,1,1
14824,450,Moplah Rebellion,2,200,United Kingdom,1,,,8,20,1921,2,-9,1922,0,7,1,50,UKG,200,1921,824711,448,3762,148471,47168,18563,0.0981886,2011,TRUE,824711,448,3762,148471,1,1,1,1
15030,453,Saya San's Rebellion,2,200,United Kingdom,1,,,12,22,1930,6,-9,1932,0,7,1,140,UKG,200,1930,512181,318,7444,207452,45866,18347,0.0784137,2011,TRUE,512181,318,7444,207452,1,1,1,1
15233,454,British-Palestinian,2,200,United Kingdom,1,,,4,20,1936,1,-9,1939,0,6,1,126,UKG,200,1936,892341,336,11974,218275,47081,18143,0.0765834,2011,TRUE,892341,336,11974,218275,1,1,1,1
15430,455,Second British-Waziristan,3,200,United Kingdom,1,,,11,25,1936,1,8,1938,0,7,1,200,UKG,200,1936,892341,336,11974,218275,47081,18143,0.0765834,2011,TRUE,892341,336,11974,218275,1,1,1,1
15630,139,World War II,1,200,United Kingdom,1,,,9,3,1939,8,14,1945,0,15,1,418765,UKG,200,1939,7895671,394,13433,219686,47762,18429,0.0996836,2011,TRUE,39435138,21672,142953,1972270,0.20021918,0.01818014,0.093967948,0.111387386
15832,720,Greek Civil War,4,200,United Kingdom,1,1,,12,5,1944,1,11,1945,,2,1,237,UKG,200,1944,16254371,4900,12337,228152,49016,18687,0.0832341,2011,TRUE,16254362,4891,12349,228741,1.000000554,1.001840114,0.999028261,0.997425035
16030,456,Indonesian,2,200,United Kingdom,1,,,11,10,1945,10,15,1946,0,7,3,1000,UKG,200,1945,17002048,5090,12014,210425,49182,18705,0.0879904,2011,TRUE,17195499,5177,12132,215816,0.988749905,0.983194901,0.990273656,0.975020388
16230,460,Malayan Rebellion,2,200,United Kingdom,1,,,6,18,1948,8,31,1957,0,7,1,2400,UKG,200,1948,3438984,847,15116,233072,50026,18852,0.075426,2011,TRUE,3438984,847,15116,233072,1,1,1,1
16429,151,Korean,1,200,United Kingdom,1,,,8,29,1950,7,27,1953,0,7,6,710,UKG,200,1950,2376154,689,16554,190014,50616,18995,0.0613487,2011,TRUE,23376515,8330,124959,1700195,0.101647059,0.082713085,0.132475452,0.111760122
16628,464,British-Mau Mau,2,200,United Kingdom,1,,,10,20,1952,10,-9,1956,0,4,1,600,UKG,200,1952,4340931,872,16681,214654,50723,19098,0.0575083,2011,TRUE,4340931,872,16681,214654,1,1,1,1
16829,155,Sinai War,1,200,United Kingdom,1,,,10,31,1956,11,6,1956,0,6,1,22,UKG,200,1956,4527611,761,20990,232317,51406,18874,0.0492237,2011,TRUE,8471794,1785,34406,347837,0.534433557,0.426330532,0.610068011,0.66789042
17043,795,Dhofar Rebellion Phase 2,5,200,United Kingdom,1,1,,10,-9,1973,12,11,1975,,6,1,35,UKG,200,1973,8612065,377,26594,366779,56223,21322,0.0276301,2011,TRUE,10546522,670,26794,426813,0.816578679,0.562686567,0.992535642,0.859343553
17249,202,Falkland Islands,1,200,United Kingdom,1,,,3,25,1982,6,15,1982,0,1,1,255,UKG,200,1982,24169041,335,13704,309737,56318,35501,0.0237279,2011,TRUE,28316041,510,16456,372653,0.853545911,0.656862745,0.832766164,0.831167333
17455,211,Gulf War,1,200,United Kingdom,1,,,1,16,1991,4,11,1991,0,6,1,24,UKG,200,1991,40430000,301,16632,345284,57801,46681,0.0263126,2011,TRUE,442916070,6255,157888,4430839,0.091281402,0.048121503,0.105340495,0.077927453
17660,221,War for Kosovo,1,200,United Kingdom,1,,,3,24,1999,6,10,1999,1,2,1,0,UKG,200,1999,36368000,218,16298,360862,58744,52666,0.0231577,2011,TRUE,437736000,3799,221483,4819375,0.08308204,0.057383522,0.073585783,0.074877344
17858,898,Second Sierra Leone,4,200,United Kingdom,2,1,,5,8,2000,11,10,2000,,4,1,-9,UKG,200,2000,35655000,212,15155,370218,58830,52956,0.0221931,2011,TRUE,38020000,311,15195,453518,0.937795897,0.681672026,0.997367555,0.816324821
18056,225,Invasion of Afghanistan,1,200,United Kingdom,1,,,10,7,2001,12,22,2001,1,7,4,0,UKG,200,2001,34714000,211,13543,364927,59113,53247,0.0213525,2011,TRUE,404730000,1952,145299,4358395,0.085770761,0.108094262,0.093207799,0.083729676
18253,481,Afghan Resistance,3,200,United Kingdom,1,,,12,23,2001,12,31,2007,1,7,5,110,UKG,200,2001,34714000,211,13543,364927,59113,53247,0.0213525,2011,TRUE,109267000,892,99998,1654837,0.317698848,0.236547085,0.135432709,0.220521417
18452,227,Invasion of Iraq,1,200,United Kingdom,1,,,3,19,2003,5,2,2003,1,6,4,33,UKG,200,2003,43311000,213,13268,367800,59698,25823,0.0191593,2011,TRUE,460442991,2083,114489,3840853,0.094063762,0.102256361,0.115888863,0.095759978
18649,482,Iraqi Resistance,3,200,United Kingdom,1,,,5,3,2003,12,31,2007,1,6,5,143,UKG,200,2003,43311000,213,13268,367800,59698,25823,0.0191593,2011,TRUE,122244991,1343,123216,1684417,0.354296725,0.158600149,0.107680821,0.218354481
18863,753,Algerian Revolutionaries,4,615,Algeria,1,0,,7,28,1962,1,15,1963,,6,2,800,ALG,615,1962,65000,45,6,942,10920,1201,0.001473,2011,TRUE,65000,45,6,942,1,1,1,1
18928,474,Western Saharan,3,615,Algeria,2,,,1,27,1976,3,6,1976,0,6,7,500,ALG,615,1976,385839,85,206,13023,16521,2947,0.0022284,2011,TRUE,826460,163,207,19945,0.46685744,0.521472393,0.995169082,0.6529456
18995,875,Algerian Islamic Front,4,615,Algeria,1,0,,2,7,1992,6,-9,1999,,6,3,-9,ALG,615,1992,1900000,126,842,64233,26271,7116,0.0040212,2011,TRUE,1900000,126,842,64233,1,1,1,1
19017,302,Liberation of Chile,2,230,Spain,1,,,1,9,1817,4,5,1818,0,1,2,1700,SPN,230,1817,4703,126,10,0,11156,228,0.0424208,2011,TRUE,4703,126,10,0,1,1,1,0
19214,303,First Bolivar Expedition,2,230,Spain,1,,,4,11,1817,8,10,1819,1,1,2,3000,SPN,230,1817,4703,126,10,0,11156,228,0.0424208,2011,TRUE,4703,126,10,0,1,1,1,0
19411,304,Mexican Independence,2,230,Spain,1,,,8,15,1817,1,1,1818,0,1,1,1000,SPN,230,1817,4703,126,10,0,11156,228,0.0424208,2011,TRUE,4703,126,10,0,1,1,1,0
19612,308,Second Bolivar Expedition,2,230,Spain,1,,,4,28,1821,5,24,1822,0,1,2,1000,SPN,230,1821,1692,165,10,0,11498,255,0.0342722,2011,TRUE,1692,165,10,0,1,1,1,0
19809,503,Spanish Royalists,4,230,Spain,1,0,,12,1,1821,4,6,1823,,2,4,-9,SPN,230,1821,1692,165,10,0,11498,255,0.0342722,2011,TRUE,1692,165,10,0,1,1,1,0
20008,1,Franco-Spanish War,1,230,Spain,2,,,4,7,1823,11,13,1823,0,2,2,600,SPN,230,1823,-9,114,10,0,11672,269,0.0299894,2011,TRUE,13560,370,200,1325,-0.000663717,0.308108108,0.05,0
20206,312,Liberation of Peru,2,230,Spain,1,,,2,4,1824,4,2,1825,0,1,2,2000,SPN,230,1824,-9,93,10,0,11760,277,0.0267907,2011,TRUE,-9,93,10,0,0,1,1,0
20408,317,Spanish Reconquest of Mexico,3,230,Spain,1,,,7,16,1829,9,11,1829,1,1,2,1700,SPN,230,1829,2898,87,20,0,12212,319,0.0337722,2011,TRUE,2898,87,20,0,1,1,1,0
20610,522,First Carlist War,4,230,Spain,1,1,,7,15,1834,7,15,1840,,2,1,65000,SPN,230,1834,1147,110,20,2,12681,367,0.0277679,2011,TRUE,21376,589,1245,37743,0.053658308,0.186757216,0.016064257,5.299E-05
20820,546,Second Carlist,4,230,Spain,1,0,,5,15,1847,5,1,1849,,2,1,3000,SPN,230,1847,2503,121,38,138,13985,528,0.0288264,2011,TRUE,2503,121,38,138,1,1,1,1
21029,31,First Spanish-Moroccan,1,230,Spain,1,,,10,22,1859,3,25,1860,1,6,1,4000,SPN,230,1859,4405,124,35,615,15580,740,0.0267245,2011,TRUE,4396,134,35,615,1.002047316,0.925373134,1,1
21230,353,Spanish-Santo Dominican,2,230,Spain,1,,,4,-9,1863,5,3,1865,1,1,2,28000,SPN,230,1863,4716,109,45,966,15810,828,0.0178035,2011,TRUE,4716,109,45,966,1,1,1,1
21429,52,Naval War,1,230,Spain,2,,,9,25,1865,5,9,1866,1,1,2,300,SPN,230,1865,5190,124,50,973,15920,876,0.0211298,2011,TRUE,6230,146,50,1037,0.833065811,0.849315068,1,0.93828351
21629,363,First Spanish-Cuban,2,230,Spain,1,,,10,10,1868,2,11,1878,0,1,1,100000,SPN,230,1868,4869,98,43,1022,16090,953,0.0202384,2011,TRUE,4869,98,43,1022,1,1,1,1
21826,591,Spanish Liberals,4,230,Spain,1,0,,9,18,1868,9,29,1868,,2,2,-9,SPN,230,1868,4869,98,43,1022,16090,953,0.0202384,2011,TRUE,4869,98,43,1022,1,1,1,1
22027,597,Third Carlist,4,230,Spain,1,0,,4,20,1872,2,20,1876,,2,1,7000,SPN,230,1872,7223,97,56,1344,15980,758,0.0216152,2011,TRUE,7223,97,56,1344,1,1,1,1
22226,598,Catonalist Uprising,5,230,Spain,1,0,,-9,-9,1874,1,-9,1875,,2,1,-9,SPN,230,1874,11604,103,38,1291,16090,805,0.025599,2011,TRUE,11604,103,38,1291,1,1,1,1
22442,399,Melilla War,3,230,Spain,1,,,9,29,1893,3,5,1894,0,6,1,1000,SPN,230,1893,6193,133,232,3326,18000,1421,0.0192033,2011,TRUE,6193,133,232,3326,1,1,1,1
22641,404,Second Spanish-Cuban,2,230,Spain,1,,,2,24,1895,4,21,1898,0,1,4,59000,SPN,230,1895,4855,150,236,3488,18160,1508,0.0180949,2011,TRUE,4855,150,236,3488,1,1,1,1
22839,410,Spanish-Philippine,2,230,Spain,1,,,8,30,1896,5,1,1898,0,7,4,4000,SPN,230,1896,5091,149,261,3890,18240,1553,0.0183682,2011,TRUE,5091,149,261,3890,1,1,1,1
